# Muestra: MFC60035_01
# Modelo: MICROFC-60035-SMT
# Fabricante: onsemi (C-Series)
# Operador: PI_GammaTracker
# Fecha_inicio: 2026-08-10 15:55:58
# Fecha_fin: 2026-08-10 16:01:49
# Duracion_s: 350.8
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Temperatura: 14.0 °C
"# Fase1_fino_directa: -0.3 a -0.3 V, paso 0.01 V"
"# Fase2_grueso: 1.0 a 23.0 V, paso 1.0 V"
"# Fase3_fino_inversa: 23.05 a 30.0 V, paso 0.01 V"
# I_compliance_A: 1.000000e-04
# NPLC: 1.0
# Delay_s: 0.05
# Sensing: 2-wire
# Terminales: frontales (banana)
# Compliance_alcanzado: False
# Compliance_voltage_V: N/A
# Puntos_medidos: 720
# Vbr_V: 24.6458
# Vbr_R2: 0.994946
# Vbr_fit_range_V: 24.81-30.00
# Vbr_fit_npoints: 520
# Notas: none

Voltage_V,Current_A,Current_uA,AbsCurrent_A,SqrtAbsCurrent_sqrtA
-0.300000,-7.090103000000e-08,-0.070901,7.090103000000e-08,2.662724732300e-04
1.000000,6.740213000000e-11,0.000067,6.740213000000e-11,8.209880023484e-06
2.000000,9.865704000000e-10,0.000987,9.865704000000e-10,3.140971824133e-05
3.000000,3.745929000000e-10,0.000375,3.745929000000e-10,1.935440259993e-05
4.000000,-4.751880000000e-10,-0.000475,4.751880000000e-10,2.179880730682e-05
5.000000,2.638888000000e-10,0.000264,2.638888000000e-10,1.624465450541e-05
6.000000,-7.487354000000e-10,-0.000749,7.487354000000e-10,2.736302980300e-05
7.000000,4.679993000000e-10,0.000468,4.679993000000e-10,2.163329147402e-05
8.000000,1.182947000000e-09,0.001183,1.182947000000e-09,3.439399656917e-05
9.000000,5.009925000000e-10,0.000501,5.009925000000e-10,2.238286174733e-05
10.000000,-2.926875000000e-10,-0.000293,2.926875000000e-10,1.710811211093e-05
11.000000,4.861936000000e-10,0.000486,4.861936000000e-10,2.204979818502e-05
12.000000,1.217186000000e-09,0.001217,1.217186000000e-09,3.488819284514e-05
13.000000,6.256566000000e-10,0.000626,6.256566000000e-10,2.501312855282e-05
14.000000,7.872837000000e-10,0.000787,7.872837000000e-10,2.805857622902e-05
15.000000,7.779448000000e-10,0.000778,7.779448000000e-10,2.789166183647e-05
16.000000,1.474918000000e-09,0.001475,1.474918000000e-09,3.840466117544e-05
17.000000,8.677635000000e-10,0.000868,8.677635000000e-10,2.945782578535e-05
18.000000,2.461960000000e-11,0.000025,2.461960000000e-11,4.961814184348e-06
19.000000,1.104163000000e-09,0.001104,1.104163000000e-09,3.322894822290e-05
20.000000,7.734399000000e-10,0.000773,7.734399000000e-10,2.781078747537e-05
21.000000,1.094489000000e-09,0.001094,1.094489000000e-09,3.308306213155e-05
22.000000,1.792870000000e-09,0.001793,1.792870000000e-09,4.234229563923e-05
23.000000,1.323136000000e-09,0.001323,1.323136000000e-09,3.637493642606e-05
23.050000,5.544972000000e-10,0.000554,5.544972000000e-10,2.354776422508e-05
23.060000,1.596691000000e-09,0.001597,1.596691000000e-09,3.995861609215e-05
23.070000,1.591342000000e-09,0.001591,1.591342000000e-09,3.989162819440e-05
23.080000,2.426016000000e-09,0.002426,2.426016000000e-09,4.925460384573e-05
23.090000,1.544415000000e-09,0.001544,1.544415000000e-09,3.929904578994e-05
23.100000,2.228370000000e-09,0.002228,2.228370000000e-09,4.720561407290e-05
23.110000,1.688561000000e-09,0.001689,1.688561000000e-09,4.109210386437e-05
23.120000,5.748750000000e-10,0.000575,5.748750000000e-10,2.397655104472e-05
23.130000,1.520455000000e-09,0.001520,1.520455000000e-09,3.899301219449e-05
23.140000,1.878873000000e-09,0.001879,1.878873000000e-09,4.334596867068e-05
23.150000,1.483682000000e-09,0.001484,1.483682000000e-09,3.851859291303e-05
23.160000,2.140528000000e-09,0.002141,2.140528000000e-09,4.626584053057e-05
23.170000,1.703488000000e-09,0.001703,1.703488000000e-09,4.127333279492e-05
23.180000,1.847102000000e-09,0.001847,1.847102000000e-09,4.297792456599e-05
23.190000,1.454249000000e-09,0.001454,1.454249000000e-09,3.813461681989e-05
23.200000,1.325826000000e-09,0.001326,1.325826000000e-09,3.641189366128e-05
23.210000,3.884714000000e-10,0.000388,3.884714000000e-10,1.970967782588e-05
23.220000,1.954751000000e-09,0.001955,1.954751000000e-09,4.421256608703e-05
23.230000,1.615538000000e-09,0.001616,1.615538000000e-09,4.019375573394e-05
