# Muestra: MFC60035_03
# Modelo: MICROFC-60035-SMT
# Fabricante: onsemi (C-Series)
# Operador: PI_GammaTracker
# Fecha_inicio: 2026-08-10 16:31:34
# Fecha_fin: 2026-08-10 16:37:31
# Duracion_s: 356.6
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Temperatura: 14/15
"# Fase1_fino_directa: -0.3 a -0.3 V, paso 0.01 V"
"# Fase2_grueso: 1.0 a 23.0 V, paso 1.0 V"
"# Fase3_fino_inversa: 23.05 a 30.0 V, paso 0.01 V"
# I_compliance_A: 1.000000e-04
# NPLC: 1.0
# Delay_s: 0.05
# Sensing: 2-wire
# Terminales: frontales (banana)
# Compliance_alcanzado: False
# Compliance_voltage_V: N/A
# Puntos_medidos: 720
# Vbr_V: 24.6649
# Vbr_R2: 0.989350
# Vbr_fit_range_V: 24.77-30.00
# Vbr_fit_npoints: 524
# Notas: none

Voltage_V,Current_A,Current_uA,AbsCurrent_A,SqrtAbsCurrent_sqrtA
-0.300000,-7.816308000000e-08,-0.078163,7.816308000000e-08,2.795766084636e-04
1.000000,-1.116648000000e-09,-0.001117,1.116648000000e-09,3.341628345582e-05
2.000000,1.857511000000e-10,0.000186,1.857511000000e-10,1.362905352547e-05
3.000000,2.743907000000e-10,0.000274,2.743907000000e-10,1.656474267835e-05
4.000000,1.760555000000e-10,0.000176,1.760555000000e-10,1.326859073150e-05
5.000000,1.409591000000e-09,0.001410,1.409591000000e-09,3.754452023931e-05
6.000000,2.677319000000e-10,0.000268,2.677319000000e-10,1.636251508785e-05
7.000000,-9.124432000000e-10,-0.000912,9.124432000000e-10,3.020667475907e-05
8.000000,3.834326000000e-10,0.000383,3.834326000000e-10,1.958143508530e-05
9.000000,-1.203758000000e-10,-0.000120,1.203758000000e-10,1.097159058660e-05
10.000000,5.202048000000e-10,0.000520,5.202048000000e-10,2.280799859698e-05
11.000000,8.299626000000e-10,0.000830,8.299626000000e-10,2.880907148799e-05
12.000000,2.003526000000e-09,0.002004,2.003526000000e-09,4.476076406855e-05
13.000000,2.679880000000e-10,0.000268,2.679880000000e-10,1.637033903131e-05
14.000000,-5.978543000000e-10,-0.000598,5.978543000000e-10,2.445105928176e-05
15.000000,1.098110000000e-09,0.001098,1.098110000000e-09,3.313774283200e-05
16.000000,1.980243000000e-09,0.001980,1.980243000000e-09,4.449992134825e-05
17.000000,1.364773000000e-09,0.001365,1.364773000000e-09,3.694283421721e-05
18.000000,1.374255000000e-09,0.001374,1.374255000000e-09,3.707094549644e-05
19.000000,-7.807966000000e-10,-0.000781,7.807966000000e-10,2.794273787588e-05
20.000000,4.397931000000e-10,0.000440,4.397931000000e-10,2.097124459826e-05
21.000000,-3.716311000000e-09,-0.003716,3.716311000000e-09,6.096155345790e-05
22.000000,9.856885000000e-10,0.000986,9.856885000000e-10,3.139567645393e-05
