# Muestra: MFC60035_03
# Modelo: MICROFC-60035-SMT
# Fabricante: onsemi (C-Series)
# Operador: PI_GammaTracker
# Fecha_inicio: 2026-08-11 15:48:08
# Fecha_fin: 2026-08-11 15:53:45
# Duracion_s: 336.8
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Temperatura: 16.0 °C
"# Fase1_fino_directa: -0.3 a -0.3 V, paso 0.01 V"
"# Fase2_grueso: 1.0 a 23.0 V, paso 1.0 V"
"# Fase3_fino_inversa: 23.05 a 30.0 V, paso 0.01 V"
# I_compliance_A: 1.000000e-04
# NPLC: 1.0
# Delay_s: 0.05
# Sensing: 2-wire
# Terminales: frontales (banana)
# Compliance_alcanzado: False
# Compliance_voltage_V: N/A
# Puntos_medidos: 720
# Vbr_V: 24.6859
# Vbr_R2: 0.990790
# Vbr_fit_range_V: 24.80-30.00
# Vbr_fit_npoints: 521
# Notas: none

Voltage_V,Current_A,Current_uA,AbsCurrent_A,SqrtAbsCurrent_sqrtA
-0.300000,-7.180982000000e-08,-0.071810,7.180982000000e-08,2.679735434702e-04
1.000000,1.237777000000e-10,0.000124,1.237777000000e-10,1.112554268339e-05
2.000000,-1.752101000000e-09,-0.001752,1.752101000000e-09,4.185810554719e-05
3.000000,3.993134000000e-10,0.000399,3.993134000000e-10,1.998282762774e-05
4.000000,2.249347000000e-10,0.000225,2.249347000000e-10,1.499782317538e-05
5.000000,2.182602000000e-09,0.002183,2.182602000000e-09,4.671832616865e-05
6.000000,3.933591000000e-10,0.000393,3.933591000000e-10,1.983328263299e-05
7.000000,-1.861843000000e-09,-0.001862,1.861843000000e-09,4.314907878507e-05
8.000000,3.833009000000e-10,0.000383,3.833009000000e-10,1.957807191733e-05
9.000000,2.177411000000e-09,0.002177,2.177411000000e-09,4.666273673929e-05
10.000000,3.303198000000e-10,0.000330,3.303198000000e-10,1.817470219839e-05
11.000000,2.069058000000e-09,0.002069,2.069058000000e-09,4.548689921285e-05
12.000000,2.462247000000e-10,0.000246,2.462247000000e-10,1.569154868074e-05
13.000000,6.156611000000e-10,0.000616,6.156611000000e-10,2.481251901762e-05
14.000000,-1.622584000000e-09,-0.001623,1.622584000000e-09,4.028131080290e-05
15.000000,6.247580000000e-10,0.000625,6.247580000000e-10,2.499515953140e-05
16.000000,2.230938000000e-09,0.002231,2.230938000000e-09,4.723280639556e-05
17.000000,6.081286000000e-10,0.000608,6.081286000000e-10,2.466026358334e-05
18.000000,8.756326000000e-10,0.000876,8.756326000000e-10,2.959108987516e-05
19.000000,-1.277216000000e-09,-0.001277,1.277216000000e-09,3.573815887815e-05
20.000000,8.615385000000e-10,0.000862,8.615385000000e-10,2.935197608339e-05
21.000000,-4.938320000000e-10,-0.000494,4.938320000000e-10,2.222233111084e-05
22.000000,1.143484000000e-09,0.001143,1.143484000000e-09,3.381544026033e-05
23.000000,-7.855955000000e-10,-0.000786,7.855955000000e-10,2.802847659078e-05
23.050000,9.425845000000e-10,0.000943,9.425845000000e-10,3.070153904937e-05
23.060000,1.127147000000e-09,0.001127,1.127147000000e-09,3.357300999315e-05
23.070000,-9.115090000000e-10,-0.000912,9.115090000000e-10,3.019120732929e-05
23.080000,9.591080000000e-10,0.000959,9.591080000000e-10,3.096946883626e-05
23.090000,2.598621000000e-09,0.002599,2.598621000000e-09,5.097667113494e-05
23.100000,1.168085000000e-09,0.001168,1.168085000000e-09,3.417725852084e-05
23.110000,-8.475983000000e-10,-0.000848,8.475983000000e-10,2.911354152280e-05
23.120000,1.157120000000e-09,0.001157,1.157120000000e-09,3.401646660075e-05
23.130000,1.177438000000e-09,0.001177,1.177438000000e-09,3.431381645926e-05
23.140000,-1.039110000000e-09,-0.001039,1.039110000000e-09,3.223522917555e-05
23.150000,1.052256000000e-09,0.001052,1.052256000000e-09,3.243849564946e-05
23.160000,2.550701000000e-09,0.002551,2.550701000000e-09,5.050446514913e-05
23.170000,9.363587000000e-10,0.000936,9.363587000000e-10,3.059997875816e-05
23.180000,9.659297000000e-10,0.000966,9.659297000000e-10,3.107940958255e-05
23.190000,1.378663000000e-09,0.001379,1.378663000000e-09,3.713035146615e-05
23.200000,2.622058000000e-09,0.002622,2.622058000000e-09,5.120603480060e-05
