# Experimento: Corriente oscura (proxy DCR) a V_ov fijo
# Dispositivo: MFC60035_03
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 1
# V_br_ref_V: 24.6860
# V_br_ref_fecha: 11/08/2026 a 16 C (LOG 3)
# V_ov_target_V: 2.5
# V_bias_V: 27.1860
# Config: B (HI->catodo, LO->anodo, V positivos)
# I_dark_mean_A: 3.897460390000e-07
# I_dark_std_A: 3.396512797921e-09
# I_dark_mean_nA: 389.7460
# I_dark_std_nA: 3.3965
# N_samples: 100
# Compliance_hit: False
# NPLC: 1.0
# Stabilize_time_s: 10.0
# I_compliance_A: 1.000000e-04
# Temperatura_C: 16
# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 12:25:41
# Notas: none

reading_idx,current_A,current_nA,current_uA
0,3.904207000000e-07,390.4207,0.390421
1,3.882538000000e-07,388.2538,0.388254
2,3.925358000000e-07,392.5358,0.392536
3,3.883395000000e-07,388.3395,0.388340
4,3.906181000000e-07,390.6181,0.390618
5,3.889938000000e-07,388.9938,0.388994
6,3.920261000000e-07,392.0261,0.392026
7,3.935652000000e-07,393.5652,0.393565
8,3.875730000000e-07,387.5730,0.387573
9,3.882381000000e-07,388.2381,0.388238
10,3.909415000000e-07,390.9415,0.390941
11,3.846045000000e-07,384.6045,0.384605
12,3.869754000000e-07,386.9754,0.386975
13,3.885237000000e-07,388.5237,0.388524
14,3.932720000000e-07,393.2720,0.393272
15,3.893784000000e-07,389.3784,0.389378
16,3.888586000000e-07,388.8586,0.388859
17,3.871383000000e-07,387.1383,0.387138
18,3.840592000000e-07,384.0592,0.384059
19,3.884574000000e-07,388.4574,0.388457
20,3.880297000000e-07,388.0297,0.388030
21,3.944757000000e-07,394.4757,0.394476
22,3.926087000000e-07,392.6087,0.392609
23,3.898741000000e-07,389.8741,0.389874
24,3.866555000000e-07,386.6555,0.386655
25,3.822593000000e-07,382.2593,0.382259
26,3.911591000000e-07,391.1591,0.391159
27,3.938395000000e-07,393.8395,0.393840
28,3.884010000000e-07,388.4010,0.388401
29,3.862523000000e-07,386.2523,0.386252
30,3.926846000000e-07,392.6846,0.392685
31,3.943435000000e-07,394.3435,0.394344
32,3.853717000000e-07,385.3717,0.385372
33,3.943587000000e-07,394.3587,0.394359
34,3.899906000000e-07,389.9906,0.389991
35,3.882623000000e-07,388.2623,0.388262
36,3.895045000000e-07,389.5045,0.389505
37,3.933042000000e-07,393.3042,0.393304
38,3.863030000000e-07,386.3030,0.386303
39,3.913881000000e-07,391.3881,0.391388
40,3.889174000000e-07,388.9174,0.388917
41,3.827422000000e-07,382.7422,0.382742
42,3.940512000000e-07,394.0512,0.394051
43,3.895495000000e-07,389.5495,0.389549
44,3.883470000000e-07,388.3470,0.388347
45,3.824745000000e-07,382.4745,0.382474
46,3.941905000000e-07,394.1905,0.394190
47,3.865115000000e-07,386.5115,0.386512
48,3.877935000000e-07,387.7935,0.387794
49,3.987711000000e-07,398.7711,0.398771
50,3.896625000000e-07,389.6625,0.389663
51,3.953015000000e-07,395.3015,0.395301
52,3.880771000000e-07,388.0771,0.388077
53,3.949486000000e-07,394.9486,0.394949
54,3.919248000000e-07,391.9248,0.391925
55,3.864693000000e-07,386.4693,0.386469
56,3.863282000000e-07,386.3282,0.386328
57,3.890073000000e-07,389.0073,0.389007
58,3.904747000000e-07,390.4747,0.390475
59,3.935300000000e-07,393.5300,0.393530
60,3.875837000000e-07,387.5837,0.387584
61,3.926534000000e-07,392.6534,0.392653
62,3.892243000000e-07,389.2243,0.389224
63,3.849181000000e-07,384.9181,0.384918
64,3.835726000000e-07,383.5726,0.383573
65,3.935566000000e-07,393.5566,0.393557
66,3.927832000000e-07,392.7832,0.392783
67,3.935031000000e-07,393.5031,0.393503
68,3.911946000000e-07,391.1946,0.391195
69,3.880403000000e-07,388.0403,0.388040
70,3.898636000000e-07,389.8636,0.389864
71,3.871487000000e-07,387.1487,0.387149
72,3.937872000000e-07,393.7872,0.393787
73,3.839797000000e-07,383.9797,0.383980
74,3.933195000000e-07,393.3195,0.393320
75,3.894954000000e-07,389.4954,0.389495
76,3.908465000000e-07,390.8465,0.390846
77,3.901389000000e-07,390.1389,0.390139
78,3.830374000000e-07,383.0374,0.383037
79,3.886115000000e-07,388.6115,0.388611
80,3.878735000000e-07,387.8735,0.387873
81,3.921668000000e-07,392.1668,0.392167
82,3.924440000000e-07,392.4440,0.392444
83,3.952457000000e-07,395.2457,0.395246
84,3.921803000000e-07,392.1803,0.392180
85,3.908703000000e-07,390.8703,0.390870
86,3.899763000000e-07,389.9763,0.389976
87,3.914193000000e-07,391.4193,0.391419
88,3.886102000000e-07,388.6102,0.388610
89,3.909979000000e-07,390.9979,0.390998
90,3.931926000000e-07,393.1926,0.393193
91,3.878468000000e-07,387.8468,0.387847
92,3.905359000000e-07,390.5359,0.390536
93,3.881682000000e-07,388.1682,0.388168
94,3.897068000000e-07,389.7068,0.389707
95,3.866820000000e-07,386.6820,0.386682
96,3.886779000000e-07,388.6779,0.388678
97,3.837971000000e-07,383.7971,0.383797
98,3.877040000000e-07,387.7040,0.387704
99,3.983384000000e-07,398.3384,0.398338
