# Experimento: Corriente oscura (proxy DCR) a V_ov fijo
# Dispositivo: MFC60035_04
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 1
# V_br_ref_V: 24.7000
# V_br_ref_fecha: 11/08/2026 a 16 C (LOG 3)
# V_ov_target_V: 2.5
# V_bias_V: 27.2000
"# Config: B (HI->catodo, LO->anodo, V positivos)"
# I_dark_mean_A: 4.217776090000e-07
# I_dark_std_A: 3.494292617597e-09
# I_dark_mean_nA: 421.7776
# I_dark_std_nA: 3.4943
# N_samples: 100
# Compliance_hit: False
# NPLC: 1.0
# Stabilize_time_s: 10.0
# I_compliance_A: 1.000000e-04
# Temperatura_C: 16
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 12:17:50
# Notas: none

reading_idx,current_A,current_nA,current_uA
0,4.191841000000e-07,419.1841,0.419184
1,4.182149000000e-07,418.2149,0.418215
2,4.223460000000e-07,422.3460,0.422346
3,4.212195000000e-07,421.2195,0.421219
4,4.187439000000e-07,418.7439,0.418744
5,4.196425000000e-07,419.6425,0.419642
6,4.244856000000e-07,424.4856,0.424486
7,4.279660000000e-07,427.9660,0.427966
8,4.177125000000e-07,417.7125,0.417713
9,4.198172000000e-07,419.8172,0.419817
10,4.244456000000e-07,424.4456,0.424446
11,4.188334000000e-07,418.8334,0.418833
12,4.211965000000e-07,421.1965,0.421196
13,4.205372000000e-07,420.5372,0.420537
14,4.116661000000e-07,411.6661,0.411666
15,4.209079000000e-07,420.9079,0.420908
16,4.245741000000e-07,424.5741,0.424574
17,4.164384000000e-07,416.4384,0.416438
18,4.237152000000e-07,423.7152,0.423715
19,4.226569000000e-07,422.6569,0.422657
20,4.237716000000e-07,423.7716,0.423772
21,4.262184000000e-07,426.2184,0.426218
22,4.257379000000e-07,425.7379,0.425738
23,4.241274000000e-07,424.1274,0.424127
24,4.199827000000e-07,419.9827,0.419983
25,4.273663000000e-07,427.3663,0.427366
26,4.223140000000e-07,422.3140,0.422314
27,4.208230000000e-07,420.8230,0.420823
28,4.197599000000e-07,419.7599,0.419760
29,4.220879000000e-07,422.0879,0.422088
30,4.191142000000e-07,419.1142,0.419114
31,4.306663000000e-07,430.6663,0.430666
32,4.130424000000e-07,413.0424,0.413042
33,4.268533000000e-07,426.8533,0.426853
34,4.194986000000e-07,419.4986,0.419499
35,4.243385000000e-07,424.3385,0.424339
36,4.245128000000e-07,424.5128,0.424513
37,4.226125000000e-07,422.6125,0.422613
38,4.241440000000e-07,424.1440,0.424144
39,4.225015000000e-07,422.5015,0.422502
40,4.228129000000e-07,422.8129,0.422813
41,4.278946000000e-07,427.8946,0.427895
42,4.158385000000e-07,415.8385,0.415838
43,4.176078000000e-07,417.6078,0.417608
44,4.218617000000e-07,421.8617,0.421862
45,4.196901000000e-07,419.6901,0.419690
46,4.244610000000e-07,424.4610,0.424461
47,4.267510000000e-07,426.7510,0.426751
48,4.207880000000e-07,420.7880,0.420788
49,4.259969000000e-07,425.9969,0.425997
50,4.208474000000e-07,420.8474,0.420847
51,4.192629000000e-07,419.2629,0.419263
52,4.262714000000e-07,426.2714,0.426271
53,4.302639000000e-07,430.2639,0.430264
54,4.188726000000e-07,418.8726,0.418873
55,4.205220000000e-07,420.5220,0.420522
56,4.207345000000e-07,420.7345,0.420735
57,4.240597000000e-07,424.0597,0.424060
58,4.224458000000e-07,422.4458,0.422446
59,4.253128000000e-07,425.3128,0.425313
60,4.168482000000e-07,416.8482,0.416848
61,4.214327000000e-07,421.4327,0.421433
62,4.230432000000e-07,423.0432,0.423043
63,4.179207000000e-07,417.9207,0.417921
64,4.191314000000e-07,419.1314,0.419131
65,4.224351000000e-07,422.4351,0.422435
66,4.219585000000e-07,421.9585,0.421959
67,4.179181000000e-07,417.9181,0.417918
68,4.234756000000e-07,423.4756,0.423476
69,4.196609000000e-07,419.6609,0.419661
70,4.217713000000e-07,421.7713,0.421771
71,4.180133000000e-07,418.0133,0.418013
72,4.173002000000e-07,417.3002,0.417300
73,4.241753000000e-07,424.1753,0.424175
74,4.198503000000e-07,419.8503,0.419850
75,4.201146000000e-07,420.1146,0.420115
76,4.228620000000e-07,422.8620,0.422862
77,4.188305000000e-07,418.8305,0.418830
78,4.221041000000e-07,422.1041,0.422104
79,4.220631000000e-07,422.0631,0.422063
80,4.215707000000e-07,421.5707,0.421571
81,4.206993000000e-07,420.6993,0.420699
82,4.158687000000e-07,415.8687,0.415869
83,4.232606000000e-07,423.2606,0.423261
84,4.209990000000e-07,420.9990,0.420999
85,4.295021000000e-07,429.5021,0.429502
86,4.176109000000e-07,417.6109,0.417611
87,4.191837000000e-07,419.1837,0.419184
88,4.190480000000e-07,419.0480,0.419048
89,4.221990000000e-07,422.1990,0.422199
90,4.255950000000e-07,425.5950,0.425595
91,4.156802000000e-07,415.6802,0.415680
92,4.243556000000e-07,424.3556,0.424356
93,4.244672000000e-07,424.4672,0.424467
94,4.235941000000e-07,423.5941,0.423594
95,4.240338000000e-07,424.0338,0.424034
96,4.189659000000e-07,418.9659,0.418966
97,4.269623000000e-07,426.9623,0.426962
98,4.242294000000e-07,424.2294,0.424229
99,4.229541000000e-07,422.9541,0.422954
