# Experimento: Drift temporal de corriente oscura
# Dispositivo: MFC60035_01
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 1
# V_br_ref_V: 24.6870
# V_ov_target_V: 2.5
# V_bias_V: 27.1870
# Config: B (HI->catodo, LO->anodo, V positivos)
# I_dark_mean_A: 5.513041720890e-07
# I_dark_std_A: 4.060090268446e-08
# I_dark_mean_nA: 551.3042
# I_dark_std_nA: 40.6009
# Drift_nA_per_min: -2.6459
# Drift_total_nA: -119.07
# Drift_total_pct: -21.5981
# Duration_min: 45.00
# N_samples: 8588
# Sample_interval_s: 2.0
# Stabilize_time_s: 10.0
# NPLC: 1.0
# I_compliance_A: 1.000000e-04
# Compliance_hit: False
# Stopped_by_user: False
# Temperatura_C: 16
# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 13:56:46
# Notas: none

time_s,time_min,current_A,current_nA
0.691,0.0115,5.557019000000e-07,555.7019
0.788,0.0131,5.511779000000e-07,551.1779
0.871,0.0145,5.545382000000e-07,554.5382
0.955,0.0159,5.516661000000e-07,551.6661
1.038,0.0173,5.596993000000e-07,559.6993
1.121,0.0187,5.561285000000e-07,556.1285
1.803,0.0301,5.579488000000e-07,557.9488
2.193,0.0366,5.578245000000e-07,557.8245
2.277,0.0380,5.610253000000e-07,561.0253
2.967,0.0495,5.550241000000e-07,555.0241
3.357,0.0559,5.554433000000e-07,555.4433
3.438,0.0573,5.591028000000e-07,559.1028
4.127,0.0688,5.559599000000e-07,555.9599
4.518,0.0753,5.569039000000e-07,556.9039
5.208,0.0868,5.567064000000e-07,556.7064
5.590,0.0932,5.587518000000e-07,558.7518
5.676,0.0946,5.591350000000e-07,559.1350
6.359,0.1060,5.564057000000e-07,556.4057
6.749,0.1125,5.525604000000e-07,552.5604
6.835,0.1139,5.594881000000e-07,559.4881
7.525,0.1254,5.594995000000e-07,559.4995
7.908,0.1318,5.620900000000e-07,562.0900
7.994,0.1332,5.498027000000e-07,549.8027
8.077,0.1346,5.538410000000e-07,553.8410
8.160,0.1360,5.574983000000e-07,557.4983
8.246,0.1374,5.514450000000e-07,551.4450
8.323,0.1387,5.657852000000e-07,565.7852
8.414,0.1402,5.610501000000e-07,561.0501
9.096,0.1516,5.560281000000e-07,556.0281
9.481,0.1580,5.613690000000e-07,561.3690
9.564,0.1594,5.523503000000e-07,552.3503
10.263,0.1710,5.562209000000e-07,556.2209
10.645,0.1774,5.571373000000e-07,557.1373
10.724,0.1787,5.533582000000e-07,553.3582
11.415,0.1902,5.621139000000e-07,562.1139
11.806,0.1968,5.515681000000e-07,551.5681
11.890,0.1982,5.538064000000e-07,553.8064
12.576,0.2096,5.609131000000e-07,560.9131
12.967,0.2161,5.557334000000e-07,555.7334
13.050,0.2175,5.550262000000e-07,555.0262
13.134,0.2189,5.569620000000e-07,556.9620
13.216,0.2203,5.552014000000e-07,555.2014
13.298,0.2216,5.612003000000e-07,561.2003
13.381,0.2230,5.557173000000e-07,555.7173
13.467,0.2244,5.528577000000e-07,552.8577
14.151,0.2358,5.610212000000e-07,561.0212
14.535,0.2423,5.567372000000e-07,556.7372
14.626,0.2438,5.554670000000e-07,555.4670
15.309,0.2552,5.480102000000e-07,548.0102
15.700,0.2617,5.497363000000e-07,549.7363
15.779,0.2630,5.566935000000e-07,556.6935
16.468,0.2745,5.525325000000e-07,552.5325
16.857,0.2809,5.520740000000e-07,552.0740
16.940,0.2823,5.574416000000e-07,557.4416
17.632,0.2939,5.577207000000e-07,557.7207
18.019,0.3003,5.592432000000e-07,559.2432
18.098,0.3016,5.522357000000e-07,552.2357
18.785,0.3131,5.544894000000e-07,554.4894
19.176,0.3196,5.614016000000e-07,561.4016
19.259,0.3210,5.592156000000e-07,559.2156
19.344,0.3224,5.561110000000e-07,556.1110
19.425,0.3237,5.634550000000e-07,563.4550
19.506,0.3251,5.575438000000e-07,557.5438
19.593,0.3265,5.517007000000e-07,551.7007
19.679,0.3280,5.600927000000e-07,560.0927
20.361,0.3393,5.546187000000e-07,554.6187
20.749,0.3458,5.515083000000e-07,551.5083
20.835,0.3472,5.591693000000e-07,559.1693
21.525,0.3587,5.580226000000e-07,558.0226
21.913,0.3652,5.638612000000e-07,563.8612
21.996,0.3666,5.669028000000e-07,566.9028
22.687,0.3781,5.576053000000e-07,557.6053
23.069,0.3845,5.563414000000e-07,556.3414
23.152,0.3859,5.667963000000e-07,566.7963
23.847,0.3975,5.593616000000e-07,559.3616
24.229,0.4038,5.590390000000e-07,559.0390
24.319,0.4053,5.572857000000e-07,557.2857
24.400,0.4067,5.557004000000e-07,555.7004
24.480,0.4080,5.580105000000e-07,558.0105
24.567,0.4094,5.519389000000e-07,551.9389
24.647,0.4108,5.571499000000e-07,557.1499
24.727,0.4121,5.486794000000e-07,548.6794
25.423,0.4237,5.637299000000e-07,563.7299
25.804,0.4301,5.598372000000e-07,559.8372
25.894,0.4316,5.604950000000e-07,560.4950
26.576,0.4429,5.652170000000e-07,565.2170
26.968,0.4495,5.642995000000e-07,564.2995
27.055,0.4509,5.540629000000e-07,554.0629
27.740,0.4623,5.569273000000e-07,556.9273
28.122,0.4687,5.556933000000e-07,555.6933
28.206,0.4701,5.578576000000e-07,557.8576
28.896,0.4816,5.608917000000e-07,560.8917
29.286,0.4881,5.581657000000e-07,558.1657
29.374,0.4896,5.526149000000e-07,552.6149
29.454,0.4909,5.577066000000e-07,557.7066
29.538,0.4923,5.567913000000e-07,556.7913
29.617,0.4936,5.503265000000e-07,550.3265
29.706,0.4951,5.578003000000e-07,557.8003
29.786,0.4964,5.541144000000e-07,554.1144
30.473,0.5079,5.587666000000e-07,558.7666
30.867,0.5145,5.547059000000e-07,554.7059
30.947,0.5158,5.511617000000e-07,551.1617
31.639,0.5273,5.592552000000e-07,559.2552
32.020,0.5337,5.563822000000e-07,556.3822
32.111,0.5352,5.578314000000e-07,557.8314
32.191,0.5365,5.653644000000e-07,565.3644
32.277,0.5379,5.574097000000e-07,557.4097
32.352,0.5392,5.533686000000e-07,553.3686
32.439,0.5407,5.650318000000e-07,565.0318
32.524,0.5421,5.610792000000e-07,561.0792
33.209,0.5535,5.564444000000e-07,556.4444
33.600,0.5600,5.561923000000e-07,556.1923
33.686,0.5614,5.606286000000e-07,560.6286
34.374,0.5729,5.658906000000e-07,565.8906
34.756,0.5793,5.593328000000e-07,559.3328
34.847,0.5808,5.592810000000e-07,559.2810
35.529,0.5922,5.669105000000e-07,566.9105
35.923,0.5987,5.633376000000e-07,563.3376
36.003,0.6000,5.593859000000e-07,559.3859
36.084,0.6014,5.582481000000e-07,558.2481
36.174,0.6029,5.599292000000e-07,559.9292
36.254,0.6042,5.529243000000e-07,552.9243
36.334,0.6056,5.663881000000e-07,566.3881
36.425,0.6071,5.621911000000e-07,562.1911
37.111,0.6185,5.573274000000e-07,557.3274
37.500,0.6250,5.605947000000e-07,560.5947
37.577,0.6263,5.584361000000e-07,558.4361
37.661,0.6277,5.627766000000e-07,562.7766
37.747,0.6291,5.688704000000e-07,568.8704
37.827,0.6304,5.592065000000e-07,559.2065
37.918,0.6320,5.592461000000e-07,559.2461
37.997,0.6333,5.567513000000e-07,556.7513
38.682,0.6447,5.618749000000e-07,561.8749
39.073,0.6512,5.559897000000e-07,555.9897
39.154,0.6526,5.524144000000e-07,552.4144
39.844,0.6641,5.664246000000e-07,566.4246
40.229,0.6705,5.558799000000e-07,555.8799
40.319,0.6720,5.634220000000e-07,563.4220
40.404,0.6734,5.612456000000e-07,561.2456
40.484,0.6747,5.644015000000e-07,564.4015
40.566,0.6761,5.595393000000e-07,559.5393
40.653,0.6775,5.725908000000e-07,572.5908
40.733,0.6789,5.583998000000e-07,558.3998
41.426,0.6904,5.621161000000e-07,562.1161
41.804,0.6967,5.621907000000e-07,562.1907
41.894,0.6982,5.595158000000e-07,559.5158
42.583,0.7097,5.673373000000e-07,567.3373
42.966,0.7161,5.598018000000e-07,559.8018
43.052,0.7175,5.619909000000e-07,561.9909
43.745,0.7291,5.599510000000e-07,559.9510
44.132,0.7355,5.626239000000e-07,562.6239
44.210,0.7368,5.629385000000e-07,562.9385
44.898,0.7483,5.614844000000e-07,561.4844
45.286,0.7548,5.657191000000e-07,565.7191
45.376,0.7563,5.618525000000e-07,561.8525
45.455,0.7576,5.664633000000e-07,566.4633
45.535,0.7589,5.593299000000e-07,559.3299
45.622,0.7604,5.682165000000e-07,568.2165
45.706,0.7618,5.656235000000e-07,565.6235
45.786,0.7631,5.686211000000e-07,568.6211
46.473,0.7745,5.629158000000e-07,562.9158
46.863,0.7811,5.678236000000e-07,567.8236
46.943,0.7824,5.592356000000e-07,559.2356
47.639,0.7940,5.692099000000e-07,569.2099
48.019,0.8003,5.592864000000e-07,559.2864
48.107,0.8018,5.642003000000e-07,564.2003
48.793,0.8132,5.632872000000e-07,563.2872
49.179,0.8197,5.578081000000e-07,557.8081
49.266,0.8211,5.570669000000e-07,557.0669
49.959,0.8326,5.613767000000e-07,561.3767
50.342,0.8390,5.606477000000e-07,560.6477
50.422,0.8404,5.560167000000e-07,556.0167
51.116,0.8519,5.694583000000e-07,569.4583
51.497,0.8583,5.627422000000e-07,562.7422
51.587,0.8598,5.534419000000e-07,553.4419
51.667,0.8611,5.624964000000e-07,562.4964
51.748,0.8625,5.603424000000e-07,560.3424
51.838,0.8640,5.651511000000e-07,565.1511
51.919,0.8653,5.601585000000e-07,560.1585
51.999,0.8666,5.604442000000e-07,560.4442
52.690,0.8782,5.687376000000e-07,568.7376
53.080,0.8847,5.590914000000e-07,559.0914
53.160,0.8860,5.637955000000e-07,563.7955
53.852,0.8975,5.665700000000e-07,566.5700
54.236,0.9039,5.662411000000e-07,566.2411
54.319,0.9053,5.641307000000e-07,564.1307
55.012,0.9169,5.724963000000e-07,572.4963
55.391,0.9232,5.619623000000e-07,561.9623
55.474,0.9246,5.581948000000e-07,558.1948
56.163,0.9360,5.628945000000e-07,562.8945
56.557,0.9426,5.631061000000e-07,563.1061
56.641,0.9440,5.626850000000e-07,562.6850
57.327,0.9555,5.687073000000e-07,568.7073
57.709,0.9618,5.662984000000e-07,566.2984
57.799,0.9633,5.703624000000e-07,570.3624
58.483,0.9747,5.602599000000e-07,560.2599
58.878,0.9813,5.712344000000e-07,571.2344
58.958,0.9826,5.615152000000e-07,561.5152
59.651,0.9942,5.704861000000e-07,570.4861
60.036,1.0006,5.602616000000e-07,560.2616
60.119,1.0020,5.627566000000e-07,562.7566
60.802,1.0134,5.691767000000e-07,569.1767
61.192,1.0199,5.667110000000e-07,566.7110
61.272,1.0212,5.663551000000e-07,566.3551
61.362,1.0227,5.664080000000e-07,566.4080
61.442,1.0240,5.621499000000e-07,562.1499
61.528,1.0255,5.613637000000e-07,561.3637
61.605,1.0268,5.659226000000e-07,565.9226
61.695,1.0283,5.649759000000e-07,564.9759
62.379,1.0396,5.649479000000e-07,564.9479
62.773,1.0462,5.735689000000e-07,573.5689
62.853,1.0476,5.667463000000e-07,566.7463
63.544,1.0591,5.692951000000e-07,569.2951
63.928,1.0655,5.686274000000e-07,568.6274
64.010,1.0668,5.733017000000e-07,573.3017
64.704,1.0784,5.684835000000e-07,568.4835
65.088,1.0848,5.614651000000e-07,561.4651
65.173,1.0862,5.774700000000e-07,577.4700
65.859,1.0977,5.691301000000e-07,569.1301
66.244,1.1041,5.686883000000e-07,568.6883
66.327,1.1055,5.674044000000e-07,567.4044
67.021,1.1170,5.715636000000e-07,571.5636
67.403,1.1234,5.714193000000e-07,571.4193
67.493,1.1249,5.647921000000e-07,564.7921
68.177,1.1363,5.655218000000e-07,565.5218
68.562,1.1427,5.716270000000e-07,571.6270
68.649,1.1441,5.643395000000e-07,564.3395
69.341,1.1557,5.680936000000e-07,568.0936
69.728,1.1621,5.567870000000e-07,556.7870
69.803,1.1634,5.675229000000e-07,567.5229
