# Muestra: MFC60035_01
# Modelo: MICROFC-60035-SMT
# Fabricante: onsemi (C-Series)
# Operador: PI_GammaTracker
# Fecha_inicio: 2026-08-11 15:25:16
# Fecha_fin: 2026-08-11 15:31:03
# Duracion_s: 346.3
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Temperatura: 16/17
"# Fase1_fino_directa: -0.3 a -0.3 V, paso 0.01 V"
"# Fase2_grueso: 1.0 a 23.0 V, paso 1.0 V"
"# Fase3_fino_inversa: 23.05 a 30.0 V, paso 0.01 V"
# I_compliance_A: 1.000000e-04
# NPLC: 1.0
# Delay_s: 0.05
# Sensing: 2-wire
# Terminales: frontales (banana)
# Compliance_alcanzado: False
# Compliance_voltage_V: N/A
# Puntos_medidos: 720
# Vbr_V: 24.6867
# Vbr_R2: 0.993105
# Vbr_fit_range_V: 24.83-30.00
# Vbr_fit_npoints: 518
# Notas: ver discrepancia en medias

Voltage_V,Current_A,Current_uA,AbsCurrent_A,SqrtAbsCurrent_sqrtA
-0.300000,-8.947869000000e-08,-0.089479,8.947869000000e-08,2.991298881757e-04
1.000000,1.855281000000e-09,0.001855,1.855281000000e-09,4.307297296449e-05
2.000000,1.920107000000e-10,0.000192,1.920107000000e-10,1.385679255816e-05
3.000000,3.065526000000e-10,0.000307,3.065526000000e-10,1.750864357967e-05
4.000000,2.574127000000e-09,0.002574,2.574127000000e-09,5.073585517166e-05
5.000000,4.517858000000e-10,0.000452,4.517858000000e-10,2.125525346826e-05
6.000000,2.363629000000e-09,0.002364,2.363629000000e-09,4.861716774967e-05
7.000000,5.132353000000e-10,0.000513,5.132353000000e-10,2.265469708471e-05
8.000000,4.483903000000e-10,0.000448,4.483903000000e-10,2.117522845213e-05
9.000000,-2.099550000000e-09,-0.002100,2.099550000000e-09,4.582084678397e-05
10.000000,3.582523000000e-10,0.000358,3.582523000000e-10,1.892755398883e-05
11.000000,2.493231000000e-09,0.002493,2.493231000000e-09,4.993226411850e-05
12.000000,6.961263000000e-10,0.000696,6.961263000000e-10,2.638420550254e-05
13.000000,2.580514000000e-09,0.002581,2.580514000000e-09,5.079875982738e-05
14.000000,1.056747000000e-09,0.001057,1.056747000000e-09,3.250764525462e-05
15.000000,1.029654000000e-09,0.001030,1.029654000000e-09,3.208822213835e-05
16.000000,1.063469000000e-09,0.001063,1.063469000000e-09,3.261087242010e-05
17.000000,-1.470586000000e-09,-0.001471,1.470586000000e-09,3.834822029769e-05
18.000000,1.014524000000e-09,0.001015,1.014524000000e-09,3.185159336674e-05
19.000000,2.841845000000e-09,0.002842,2.841845000000e-09,5.330895797143e-05
20.000000,1.422399000000e-09,0.001422,1.422399000000e-09,3.771470535481e-05
21.000000,1.209663000000e-09,0.001210,1.209663000000e-09,3.478020989011e-05
22.000000,3.066830000000e-09,0.003067,3.066830000000e-09,5.537896712652e-05
23.000000,1.484626000000e-09,0.001485,1.484626000000e-09,3.853084478700e-05
23.050000,-1.098169000000e-09,-0.001098,1.098169000000e-09,3.313863304362e-05
23.060000,1.418705000000e-09,0.001419,1.418705000000e-09,3.766570057758e-05
23.070000,-7.960066000000e-10,-0.000796,7.960066000000e-10,2.821358892449e-05
23.080000,1.180868000000e-09,0.001181,1.180868000000e-09,3.436375998054e-05
23.090000,1.272935000000e-09,0.001273,1.272935000000e-09,3.567821464143e-05
23.100000,1.566821000000e-09,0.001567,1.566821000000e-09,3.958308982381e-05
23.110000,-1.079583000000e-09,-0.001080,1.079583000000e-09,3.285700838482e-05
23.120000,1.254162000000e-09,0.001254,1.254162000000e-09,3.541414971449e-05
23.130000,1.738640000000e-09,0.001739,1.738640000000e-09,4.169700229033e-05
23.140000,-1.137762000000e-09,-0.001138,1.137762000000e-09,3.373072783087e-05
23.150000,1.965939000000e-09,0.001966,1.965939000000e-09,4.433891067674e-05
23.160000,3.244202000000e-09,0.003244,3.244202000000e-09,5.695789673083e-05
23.170000,1.774965000000e-09,0.001775,1.774965000000e-09,4.213033349025e-05
23.180000,3.260844000000e-09,0.003261,3.260844000000e-09,5.710380022380e-05
23.190000,1.587770000000e-09,0.001588,1.587770000000e-09,3.984683174357e-05
23.200000,-7.561632000000e-10,-0.000756,7.561632000000e-10,2.749842177289e-05
23.210000,1.729133000000e-09,0.001729,1.729133000000e-09,4.158284502051e-05
23.220000,1.559581000000e-09,0.001560,1.559581000000e-09,3.949153073762e-05
23.230000,-7.812258000000e-10,-0.000781,7.812258000000e-10,2.795041681263e-05
23.240000,1.324059000000e-09,0.001324,1.324059000000e-09,3.638762152161e-05
23.250000,1.347759000000e-09,0.001348,1.347759000000e-09,3.671183732803e-05
23.260000,1.479692000000e-09,0.001480,1.479692000000e-09,3.846676487567e-05
23.270000,3.156879000000e-09,0.003157,3.156879000000e-09,5.618611038326e-05
23.280000,1.801815000000e-09,0.001802,1.801815000000e-09,4.244779146198e-05
23.290000,1.775434000000e-09,0.001775,1.775434000000e-09,4.213589918348e-05
23.300000,1.495133000000e-09,0.001495,1.495133000000e-09,3.866694971161e-05
23.310000,3.101430000000e-09,0.003101,3.101430000000e-09,5.569048392679e-05
23.320000,1.657151000000e-09,0.001657,1.657151000000e-09,4.070811958320e-05
23.330000,-9.287165000000e-10,-0.000929,9.287165000000e-10,3.047485028675e-05
23.340000,1.661059000000e-09,0.001661,1.661059000000e-09,4.075609156924e-05
23.350000,3.147015000000e-09,0.003147,3.147015000000e-09,5.609826200516e-05
23.360000,1.568807000000e-09,0.001569,1.568807000000e-09,3.960816834947e-05
23.370000,-9.681647000000e-10,-0.000968,9.681647000000e-10,3.111534508888e-05
23.380000,1.662211000000e-09,0.001662,1.662211000000e-09,4.077022197634e-05
23.390000,3.215299000000e-09,0.003215,3.215299000000e-09,5.670360658724e-05
23.400000,1.573547000000e-09,0.001574,1.573547000000e-09,3.966795936269e-05
23.410000,2.348726000000e-09,0.002349,2.348726000000e-09,4.846365648607e-05
23.420000,1.564322000000e-09,0.001564,1.564322000000e-09,3.955151071704e-05
23.430000,3.100023000000e-09,0.003100,3.100023000000e-09,5.567785017401e-05
23.440000,1.290710000000e-09,0.001291,1.290710000000e-09,3.592645264982e-05
23.450000,1.512622000000e-09,0.001513,1.512622000000e-09,3.889244142504e-05
23.460000,-1.009236000000e-09,-0.001009,1.009236000000e-09,3.176847493979e-05
23.470000,1.542989000000e-09,0.001543,1.542989000000e-09,3.928089866589e-05
23.480000,-6.443437000000e-10,-0.000644,6.443437000000e-10,2.538392601628e-05
23.490000,1.710453000000e-09,0.001710,1.710453000000e-09,4.135762323925e-05
23.500000,1.505959000000e-09,0.001506,1.505959000000e-09,3.880668756800e-05
23.510000,3.208015000000e-09,0.003208,3.208015000000e-09,5.663934145097e-05
23.520000,1.505063000000e-09,0.001505,1.505063000000e-09,3.879514144838e-05
23.530000,-9.979004000000e-10,-0.000998,9.979004000000e-10,3.158956156707e-05
23.540000,1.698344000000e-09,0.001698,1.698344000000e-09,4.121096941349e-05
23.550000,3.295873000000e-09,0.003296,3.295873000000e-09,5.740969430331e-05
23.560000,1.505447000000e-09,0.001505,1.505447000000e-09,3.880009020608e-05
23.570000,3.290333000000e-09,0.003290,3.290333000000e-09,5.736142431983e-05
23.580000,1.496670000000e-09,0.001497,1.496670000000e-09,3.868681946090e-05
23.590000,-7.611209000000e-10,-0.000761,7.611209000000e-10,2.758841967203e-05
23.600000,1.314771000000e-09,0.001315,1.314771000000e-09,3.625977109691e-05
23.610000,1.508971000000e-09,0.001509,1.508971000000e-09,3.884547592706e-05
23.620000,1.436450000000e-09,0.001436,1.436450000000e-09,3.790052770081e-05
23.630000,3.111561000000e-09,0.003112,3.111561000000e-09,5.578136785702e-05
23.640000,1.578544000000e-09,0.001579,1.578544000000e-09,3.973089477976e-05
23.650000,-9.029267000000e-10,-0.000903,9.029267000000e-10,3.004873874225e-05
23.660000,1.658112000000e-09,0.001658,1.658112000000e-09,4.071992141446e-05
23.670000,2.438260000000e-09,0.002438,2.438260000000e-09,4.937874036465e-05
23.680000,1.638060000000e-09,0.001638,1.638060000000e-09,4.047295393222e-05
23.690000,-9.518651000000e-10,-0.000952,9.518651000000e-10,3.085231109658e-05
23.700000,1.901555000000e-09,0.001902,1.901555000000e-09,4.360682286065e-05
23.710000,3.318921000000e-09,0.003319,3.318921000000e-09,5.761007724348e-05
23.720000,1.562079000000e-09,0.001562,1.562079000000e-09,3.952314511777e-05
23.730000,-9.288330000000e-10,-0.000929,9.288330000000e-10,3.047676163899e-05
23.740000,1.821539000000e-09,0.001822,1.821539000000e-09,4.267949156211e-05
23.750000,3.299748000000e-09,0.003300,3.299748000000e-09,5.744343304504e-05
23.760000,1.641199000000e-09,0.001641,1.641199000000e-09,4.051171435523e-05
23.770000,3.339852000000e-09,0.003340,3.339852000000e-09,5.779145265522e-05
23.780000,1.625374000000e-09,0.001625,1.625374000000e-09,4.031592737368e-05
23.790000,-7.580954000000e-10,-0.000758,7.580954000000e-10,2.753353228338e-05
23.800000,1.365802000000e-09,0.001366,1.365802000000e-09,3.695675851587e-05
23.810000,1.383358000000e-09,0.001383,1.383358000000e-09,3.719352094115e-05
23.820000,1.618840000000e-09,0.001619,1.618840000000e-09,4.023481079861e-05
23.830000,3.282908000000e-09,0.003283,3.282908000000e-09,5.729666656971e-05
23.840000,1.827919000000e-09,0.001828,1.827919000000e-09,4.275416938732e-05
23.850000,1.829940000000e-09,0.001830,1.829940000000e-09,4.277779797979e-05
23.860000,1.628705000000e-09,0.001629,1.628705000000e-09,4.035721744620e-05
23.870000,-7.617495000000e-10,-0.000762,7.617495000000e-10,2.759980978195e-05
23.880000,1.623965000000e-09,0.001624,1.623965000000e-09,4.029844910167e-05
23.890000,3.361722000000e-09,0.003362,3.361722000000e-09,5.798035874328e-05
23.900000,1.693026000000e-09,0.001693,1.693026000000e-09,4.114639716913e-05
23.910000,-8.314506000000e-10,-0.000831,8.314506000000e-10,2.883488512202e-05
23.920000,1.678228000000e-09,0.001678,1.678228000000e-09,4.096618117423e-05
23.930000,-6.451233000000e-10,-0.000645,6.451233000000e-10,2.539927754878e-05
23.940000,1.731623000000e-09,0.001732,1.731623000000e-09,4.161277448092e-05
23.950000,1.624991000000e-09,0.001625,1.624991000000e-09,4.031117711008e-05
23.960000,3.262334000000e-09,0.003262,3.262334000000e-09,5.711684515097e-05
23.970000,1.365403000000e-09,0.001365,1.365403000000e-09,3.695135992085e-05
23.980000,3.235882000000e-09,0.003236,3.235882000000e-09,5.688481343909e-05
23.990000,1.841783000000e-09,0.001842,1.841783000000e-09,4.291599934756e-05
24.000000,-7.466082000000e-10,-0.000747,7.466082000000e-10,2.732413219116e-05
24.010000,1.591933000000e-09,0.001592,1.591933000000e-09,3.989903507605e-05
24.020000,3.294290000000e-09,0.003294,3.294290000000e-09,5.739590577733e-05
24.030000,1.801037000000e-09,0.001801,1.801037000000e-09,4.243862627371e-05
24.040000,-5.177083000000e-10,-0.000518,5.177083000000e-10,2.275320416996e-05
24.050000,1.798366000000e-09,0.001798,1.798366000000e-09,4.240714562429e-05
24.060000,1.606989000000e-09,0.001607,1.606989000000e-09,4.008726730522e-05
24.070000,3.240295000000e-09,0.003240,3.240295000000e-09,5.692358913491e-05
24.080000,1.867849000000e-09,0.001868,1.867849000000e-09,4.321861867297e-05
24.090000,1.817033000000e-09,0.001817,1.817033000000e-09,4.262667005526e-05
24.100000,1.707889000000e-09,0.001708,1.707889000000e-09,4.132661370110e-05
24.110000,3.295302000000e-09,0.003295,3.295302000000e-09,5.740472106021e-05
24.120000,1.742742000000e-09,0.001743,1.742742000000e-09,4.174616150019e-05
24.130000,1.662787000000e-09,0.001663,1.662787000000e-09,4.077728534368e-05
24.140000,3.257230000000e-09,0.003257,3.257230000000e-09,5.707214732249e-05
24.150000,1.592446000000e-09,0.001592,1.592446000000e-09,3.990546328512e-05
24.160000,-7.570654000000e-10,-0.000757,7.570654000000e-10,2.751482146044e-05
24.170000,1.779960000000e-09,0.001780,1.779960000000e-09,4.218957217133e-05
