# Muestra: MFC60035_04
# Modelo: MICROFC-60035-SMT
# Fabricante: onsemi (C-Series)
# Operador: PI_GammaTracker
# Fecha_inicio: 2026-08-11 15:57:11
# Fecha_fin: 2026-08-11 16:02:57
# Duracion_s: 346.2
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Temperatura: 17.0 °C
"# Fase1_fino_directa: -0.3 a -0.3 V, paso 0.01 V"
"# Fase2_grueso: 1.0 a 23.0 V, paso 1.0 V"
"# Fase3_fino_inversa: 23.05 a 30.0 V, paso 0.01 V"
# I_compliance_A: 1.000000e-04
# NPLC: 1.0
# Delay_s: 0.05
# Sensing: 2-wire
# Terminales: frontales (banana)
# Compliance_alcanzado: False
# Compliance_voltage_V: N/A
# Puntos_medidos: 720
# Vbr_V: 24.7005
# Vbr_R2: 0.990474
# Vbr_fit_range_V: 24.82-30.00
# Vbr_fit_npoints: 519
# Notas: none{

Voltage_V,Current_A,Current_uA,AbsCurrent_A,SqrtAbsCurrent_sqrtA
-0.300000,-8.116471000000e-08,-0.081165,8.116471000000e-08,2.848942084353e-04
1.000000,-2.396221000000e-09,-0.002396,2.396221000000e-09,4.895121040383e-05
2.000000,-1.436160000000e-10,-0.000144,1.436160000000e-10,1.198398931909e-05
3.000000,4.350545000000e-11,0.000044,4.350545000000e-11,6.595866129630e-06
4.000000,-2.118220000000e-09,-0.002118,2.118220000000e-09,4.602412410899e-05
5.000000,4.701072000000e-10,0.000470,4.701072000000e-10,2.168195563135e-05
6.000000,-2.000692000000e-09,-0.002001,2.000692000000e-09,4.472909567608e-05
7.000000,3.713208000000e-10,0.000371,3.713208000000e-10,1.926968603792e-05
8.000000,2.274993000000e-09,0.002275,2.274993000000e-09,4.769688669085e-05
9.000000,4.416632000000e-10,0.000442,4.416632000000e-10,2.101578454400e-05
10.000000,-1.896355000000e-09,-0.001896,1.896355000000e-09,4.354715834587e-05
11.000000,5.658368000000e-10,0.000566,5.658368000000e-10,2.378732435563e-05
12.000000,4.061716000000e-10,0.000406,4.061716000000e-10,2.015369941227e-05
13.000000,-1.738920000000e-09,-0.001739,1.738920000000e-09,4.170035971068e-05
14.000000,6.416064000000e-10,0.000642,6.416064000000e-10,2.532995065135e-05
15.000000,1.668447000000e-09,0.001668,1.668447000000e-09,4.084662776779e-05
16.000000,6.754934000000e-10,0.000675,6.754934000000e-10,2.599025586638e-05
17.000000,7.434046000000e-10,0.000743,7.434046000000e-10,2.726544699799e-05
18.000000,2.454487000000e-09,0.002454,2.454487000000e-09,4.954277949409e-05
19.000000,2.976483000000e-09,0.002976,2.976483000000e-09,5.455715351812e-05
20.000000,3.476517000000e-09,0.003477,3.476517000000e-09,5.896199623486e-05
21.000000,1.273534000000e-09,0.001274,1.273534000000e-09,3.568660813246e-05
22.000000,2.618358000000e-09,0.002618,2.618358000000e-09,5.116989349217e-05
23.000000,1.275968000000e-09,0.001276,1.275968000000e-09,3.572069428217e-05
23.050000,-7.564417000000e-10,-0.000756,7.564417000000e-10,2.750348523369e-05
23.060000,1.331768000000e-09,0.001332,1.331768000000e-09,3.649339666296e-05
23.070000,-8.083772000000e-10,-0.000808,8.083772000000e-10,2.843197495778e-05
23.080000,1.280453000000e-09,0.001280,1.280453000000e-09,3.578341794742e-05
23.090000,9.853823000000e-10,0.000985,9.853823000000e-10,3.139079960753e-05
23.100000,1.143548000000e-09,0.001144,1.143548000000e-09,3.381638656036e-05
23.110000,2.645474000000e-09,0.002645,2.645474000000e-09,5.143417152050e-05
23.120000,1.340873000000e-09,0.001341,1.340873000000e-09,3.661793276524e-05
23.130000,9.068315000000e-10,0.000907,9.068315000000e-10,3.011364308748e-05
23.140000,-6.458849000000e-10,-0.000646,6.458849000000e-10,2.541426567894e-05
23.150000,9.710448000000e-10,0.000971,9.710448000000e-10,3.116159174368e-05
23.160000,9.921002000000e-10,0.000992,9.921002000000e-10,3.149762213247e-05
23.170000,2.502864000000e-09,0.002503,2.502864000000e-09,5.002863180220e-05
23.180000,1.905269000000e-09,0.001905,1.905269000000e-09,4.364938716637e-05
