# Muestra: MFC60035_07
# Modelo: MICROFC-60035-SMT
# Fabricante: onsemi (C-Series)
# Operador: PI_GammaTracker
# Fecha_inicio: 2026-08-11 14:17:56
# Fecha_fin: 2026-08-11 14:23:56
# Duracion_s: 360.5
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Temperatura: 16.0 °C
"# Fase1_fino_directa: -0.3 a -0.3 V, paso 0.01 V"
"# Fase2_grueso: 1.0 a 23.0 V, paso 1.0 V"
"# Fase3_fino_inversa: 23.05 a 30.0 V, paso 0.01 V"
# I_compliance_A: 1.000000e-04
# NPLC: 1.0
# Delay_s: 0.05
# Sensing: 2-wire
# Terminales: frontales (banana)
# Compliance_alcanzado: False
# Compliance_voltage_V: N/A
# Puntos_medidos: 720
# Vbr_V: 24.5807
# Vbr_R2: 0.995201
# Vbr_fit_range_V: 24.81-30.00
# Vbr_fit_npoints: 519
# Notas: none

Voltage_V,Current_A,Current_uA,AbsCurrent_A,SqrtAbsCurrent_sqrtA
-0.300000,-6.789855000000e-08,-0.067899,6.789855000000e-08,2.605735021064e-04
1.000000,9.628042000000e-10,0.000963,9.628042000000e-10,3.102908635458e-05
2.000000,3.345588000000e-10,0.000335,3.345588000000e-10,1.829094858120e-05
3.000000,3.603309000000e-10,0.000360,3.603309000000e-10,1.898238393880e-05
4.000000,7.662732000000e-11,0.000077,7.662732000000e-11,8.753703216354e-06
5.000000,1.794474000000e-09,0.001794,1.794474000000e-09,4.236123227669e-05
6.000000,1.396670000000e-10,0.000140,1.396670000000e-10,1.181807937019e-05
7.000000,1.676507000000e-09,0.001677,1.676507000000e-09,4.094517065540e-05
8.000000,5.676125000000e-10,0.000568,5.676125000000e-10,2.382461961921e-05
9.000000,5.043784000000e-10,0.000504,5.043784000000e-10,2.245837037721e-05
10.000000,3.727344000000e-10,0.000373,3.727344000000e-10,1.930633056798e-05
11.000000,-1.064808000000e-09,-0.001065,1.064808000000e-09,3.263139592478e-05
12.000000,3.949009000000e-10,0.000395,3.949009000000e-10,1.987211362689e-05
13.000000,5.989469000000e-10,0.000599,5.989469000000e-10,2.447339167341e-05
14.000000,1.875660000000e-09,0.001876,1.875660000000e-09,4.330889054224e-05
15.000000,8.539883000000e-10,0.000854,8.539883000000e-10,2.922307820884e-05
16.000000,2.025258000000e-09,0.002025,2.025258000000e-09,4.500286657536e-05
17.000000,8.086302000000e-10,0.000809,8.086302000000e-10,2.843642382579e-05
18.000000,1.543504000000e-09,0.001544,1.543504000000e-09,3.928745346800e-05
19.000000,1.056177000000e-09,0.001056,1.056177000000e-09,3.249887690367e-05
20.000000,-5.690562000000e-10,-0.000569,5.690562000000e-10,2.385489886795e-05
21.000000,1.541018000000e-09,0.001541,1.541018000000e-09,3.925580211892e-05
22.000000,-3.131588000000e-10,-0.000313,3.131588000000e-10,1.769629339721e-05
23.000000,1.408788000000e-09,0.001409,1.408788000000e-09,3.753382474515e-05
23.050000,-1.553083000000e-10,-0.000155,1.553083000000e-10,1.246227507320e-05
